Ability,Tier,Type,Cost,Rules,Domains
Divine Physique,I,Passive,—,"Your divine body exceeds mortal capability. Gain Advantage on Strength checks made to lift, push, pull, force open doors, bend bars, break chains or destroy mundane objects. You count as one size larger when determining carrying capacity only. Your Scale does not increase.","Strength, Valor, War, Glory, Protection, Zeal"
Hunter's Instinct,I,Passive,—,"Once you have successfully identified a creature's tracks or scent, you always know the approximate direction it travelled while it remains within 10 km.","Hunt, Wilderness, Beasts, Nature, Travel, Secrets"
Unerring Balance,I,Passive,—,"You ignore difficult footing caused by ice, mud, rubble, ship rigging, ropes and narrow ledges. Gain Advantage on checks made to avoid falling or losing balance.","Balance, Air, Travel, Sky, Freedom, Protection"
Gentle Hands,I,Passive,—,Gain Advantage on Medicine checks made to stabilize creatures or treat wounds. Treating Bruised wounds takes half the normal time.,"Healing, Mercy, Life, Love, Peace, Renewal"
Forge Familiarity,I,Passive,—,"After examining an object for one minute, immediately determine its quality, weak points, repair history and approximate value. Gain Advantage when identifying crafted objects.","Craft, Metal, Knowledge, Creation, Earth, Wisdom"
Golden Words,I,Passive,—,"Once during each social encounter, after failing a Charisma check, immediately reroll it. You must keep the second result.","Love, Trade, Nobility, Deception, Trickery, Beauty"
Sense the Supernatural,I,Passive,—,"You instinctively feel active divine power, lingering spirits, curses and magical effects within roughly 20 metres. This reveals presence, not precise location.","Magic, Spirit, Secrets, Knowledge, Twilight, Souls"
Child of the Wild,I,Passive,—,"Natural animals start friendlier toward you. Hostile animals hesitate before attacking unless magically controlled, starving or protecting offspring.","Nature, Beasts, Wilderness, Hunt, Growth, Peace"
Fearless,I,Passive,—,"Gain Advantage on Saving Throws against fear, intimidation and supernatural terror.","Valor, Glory, Will, War, Strength, Zeal"
Divine Appetite,I,Passive,—,You consume only half the normal food and water. Poor rations count as adequate for recovering Fatigue.,"Harvest, Hearth, Life, Earth, Renewal, Nature"
Keen Eyes,I,Passive,—,"Ignore penalties from rain, smoke, fog and double your visual distance when making Perception checks. Dim light counts as bright light for vision-based checks.","Sky, Sun, Knowledge, Light, Air, Twilight"
Whispered Lies,I,Passive,—,Creatures trying to determine whether you are lying through non magical means have to do so with disadvantage as long as your lies are well crafted and subtle,"Deception, Trickery, Secrets, Shadow, Chaos, Wealth"
Shadow Walker,I,Passive,—,"Gain Advantage on Stealth checks while in dim light or darkness. If motionless for one round, creatures must first succeed on a Perception check to notice you.","Shadow, Darkness, Moon, Twilight, Secrets, Trickery"
Fleet Footed,I,Passive,—,Increase your movement by proficiency bonus metres.,"Travel, Freedom, Air, Sky, Storms, Zeal"
Iron Constitution,I,Passive,—,"Gain Advantage on Saving Throws against poison, disease, alcohol and naturally occurring toxins.","Blood, Life, Strength, Healing, Earth, Protection"
Calm Mind,I,Passive,—,"Gain Advantage on Saving Throws against magical charms, compulsions and emotional manipulation.","Wisdom, Balance, Order, Peace, Will, Protection"
Hearthkeeper,I,Passive,—,"When your group completes a Rest inside a Safe Space that you helped establish, every ally removes one additional Wound","Hearth, Peace, Renewal, Life, Healing, Protection"
Divine Spark,I,Minor Action,—,Produce a harmless magical effect fitting one of your domains. It cannot inflict wounds or grant combat bonuses.,"Magic, Creation, Spirit, Light, Chaos, Trickery"
Guiding Breeze,I,Passive,—,You always know the cardinal directions and cannot become naturally lost.,"Air, Travel, Sky, Storms, Freedom, Knowledge"
Lucky Break,I,Passive,—,"Twice per day, reroll a natural 1 made on any non-combat d20 roll.","Luck, Fortune, Fate, Chaos, Trickery, Travel"
Stone's Endurance,I,Passive,1 PotD,You cannot be knocked prone and have advantage on saves against being moved against your will.,"Earth, Protection, Strength, Metal, Valor, Will"
Eyes of Truth,I,Passive,—,"Gain Advantage when attempting to detect disguises, illusions, forged documents or deliberate deception.","Justice, Light, Wisdom, Law, Order, Knowledge"
Beast Speech,I,Passive,—,Communicate simple concepts with non-magical animals.,"Beasts, Nature, Wilderness, Hunt, Spirit, Freedom"
